date,home,away,actual,predicted,confidence,h_prob,d_prob,a_prob,n_warn,elo_diff,correct,liga
2024-12-20,Bayern Munich,RB Leipzig,home_win,home_win,0.6153,0.6153,0.2047,0.18,0,264.3,True,Bundesliga
2024-12-21,Werder Bremen,Union Berlin,home_win,home_win,0.47,0.47,0.3115,0.2185,1,149.7,True,Bundesliga
2024-12-21,Bayer Leverkusen,Freiburg,home_win,home_win,0.5291,0.5291,0.2646,0.2064,0,279.2,True,Bundesliga
2024-12-21,Holstein Kiel,Augsburg,home_win,draw,0.3699,0.3443,0.3699,0.2858,1,-89.5,False,Bundesliga
2024-12-22,Bochum,FC Heidenheim,home_win,draw,0.434,0.2678,0.434,0.2982,1,-48.5,False,Bundesliga
2024-12-22,Wolfsburg,Borussia Dortmund,away_win,away_win,0.4073,0.3192,0.2735,0.4073,1,-160.7,True,Bundesliga
2025-01-10,Borussia Dortmund,Bayer Leverkusen,away_win,home_win,0.4328,0.4328,0.2503,0.3169,1,44.4,False,Bundesliga
2025-01-11,Mainz,Bochum,home_win,home_win,0.423,0.423,0.3315,0.2455,1,150.5,True,Bundesliga
2025-01-11,FC Heidenheim,Union Berlin,home_win,home_win,0.4106,0.4106,0.3383,0.2511,1,78.3,True,Bundesliga
2025-01-11,Freiburg,Holstein Kiel,home_win,home_win,0.4045,0.4045,0.3185,0.277,1,176.1,True,Bundesliga
2025-01-11,Hoffenheim,Wolfsburg,away_win,home_win,0.4175,0.4175,0.2944,0.2881,1,60.3,False,Bundesliga
2025-01-12,Augsburg,Stuttgart,away_win,draw,0.3978,0.2732,0.3978,0.3291,1,3.2,False,Bundesliga
2025-01-12,RB Leipzig,Werder Bremen,home_win,home_win,0.4446,0.4446,0.2817,0.2737,1,93.2,True,Bundesliga
2025-01-14,Bayer Leverkusen,Mainz,home_win,home_win,0.5705,0.5705,0.2568,0.1727,0,298.5,True,Bundesliga
2025-01-14,Holstein Kiel,Borussia Dortmund,home_win,away_win,0.4288,0.295,0.2761,0.4288,1,-299.7,False,Bundesliga
2025-01-15,Bayern Munich,Hoffenheim,home_win,home_win,0.5868,0.5868,0.2219,0.1913,0,334.4,True,Bundesliga
2025-01-15,Werder Bremen,FC Heidenheim,draw,home_win,0.4179,0.4179,0.3351,0.247,1,121.4,False,Bundesliga
2025-01-15,Union Berlin,Augsburg,away_win,draw,0.427,0.2878,0.427,0.2852,1,-12.9,False,Bundesliga
2025-01-15,Stuttgart,RB Leipzig,home_win,home_win,0.4138,0.4138,0.2918,0.2944,1,16.8,True,Bundesliga
2025-01-18,Bayern Munich,Wolfsburg,home_win,home_win,0.5896,0.5896,0.2366,0.1738,0,344.7,True,Bundesliga
2025-01-18,Bochum,RB Leipzig,draw,away_win,0.4334,0.2578,0.3088,0.4334,1,-163.1,False,Bundesliga
2025-01-18,Holstein Kiel,Hoffenheim,away_win,draw,0.3638,0.3042,0.3638,0.332,1,-99.4,False,Bundesliga
2025-01-18,Stuttgart,Freiburg,home_win,home_win,0.4759,0.4759,0.271,0.2531,1,110.2,True,Bundesliga
2025-01-19,Union Berlin,Mainz,home_win,draw,0.4097,0.3121,0.4097,0.2782,1,19.7,False,Bundesliga
2025-01-19,Werder Bremen,Augsburg,away_win,home_win,0.4281,0.4281,0.313,0.2589,1,86.8,False,Bundesliga
2025-01-24,Wolfsburg,Holstein Kiel,draw,home_win,0.4227,0.4227,0.3305,0.2468,1,189.0,False,Bundesliga
2025-01-25,Augsburg,FC Heidenheim,home_win,home_win,0.3788,0.3788,0.3419,0.2793,1,84.6,True,Bundesliga
2025-01-25,Borussia Dortmund,Werder Bremen,draw,home_win,0.5146,0.5146,0.2691,0.2163,0,223.4,False,Bundesliga
2025-01-25,Freiburg,Bayern Munich,away_win,away_win,0.5374,0.2276,0.235,0.5374,0,-257.7,True,Bundesliga
2025-01-25,Mainz,Stuttgart,home_win,away_win,0.3984,0.298,0.3036,0.3984,1,-29.4,False,Bundesliga
